"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","53/2006","319/18986",0.166144200626959,1.57248942826692,3.54427548816927,0.000582052214897742,0.0319487926764513,0.0282116858191382,"7018/91662/2852/5314/4504/388325/3690/2246/64127/388121/7422/399473/59272/634/54209/8622/2324/4609/64762/57007/1848/650/960/5345/1969/2887/55532/26191/154043/3685/152007/7010/2149/4851/8837/10392/678/10318/1512/5604/57447/5777/84231/1445/5906/23410/2263/5770/152110/1601/54550/3356/6348",53
"GO:0050796","BP","GO:0050796","regulation of insulin secretion","33/2006","173/18986",0.190751445086705,1.80538730628922,3.6576380474449,0.000562418140453822,0.0311569234660668,0.0275124429526095,"8447/3625/114/2696/2852/9024/952/240/8622/10312/6720/9501/57555/94121/5581/8660/56262/51092/415116/5106/80024/84876/2182/9463/2767/5573/9575/23410/5978/150/7351/2822/2850",33
"GO:1902904","BP","GO:1902904","negative regulation of supramolecular fiber organization","33/2006","173/18986",0.190751445086705,1.80538730628922,3.6576380474449,0.000562418140453822,0.0311569234660668,0.0275124429526095,"10382/50944/822/150356/1901/27124/256949/7111/146206/1410/54209/3949/7454/9168/85358/10395/9026/395/84952/5580/85464/91663/10163/5216/8874/9463/6711/23332/5295/5217/126820/26586/2258",33
"GO:0045446","BP","GO:0045446","endothelial cell differentiation","26/2006","125/18986",0.208,1.96863808574277,3.73453137213217,0.000545117037255417,0.030768256923577,0.0271692394238822,"60484/81575/55273/1903/5138/7422/1901/26051/634/4855/5175/7075/694/23462/25932/4851/1910/91663/2194/7132/83605/5906/11167/90/7026/2535",26
"GO:0160110","CC","GO:0160110","axonemal microtubule doublet inner sheath","12/2101","46/19960",0.260869565217391,2.47832295180349,3.44288749060397,0.00230095498771354,0.0301336605121715,0.0262234343741442,"220004/11092/64800/158787/93190/27285/55329/339778/146845/84688/440585/389799",12
"GO:0005381","MF","GO:0005381","iron ion transmembrane transporter activity","6/2054","10/18737",0.6,5.47332035053554,4.96475108080747,0.000244581726699172,0.0286649783691429,0.0263890810385948,"6556/57348/51312/23516/30061/255231",6
"GO:0030901","BP","GO:0030901","midbrain development","21/2006","92/18986",0.228260869565217,2.16039923707139,3.83478760439347,0.000502103409159055,0.0286103304476059,0.0252637294292661,"5354/4155/4099/7484/6271/11240/3939/1267/84630/2648/1453/7533/57447/3340/2263/64426/4487/8323/5013/6469/6423",21
"GO:0060076","CC","GO:0060076","excitatory synapse","16/2101","70/19960",0.228571428571429,2.17148296729449,3.36760738841521,0.00212712714136962,0.0284034035935825,0.0247177003217976,"81832/3765/114/26045/50944/6334/6272/57555/7533/10458/23208/23191/1108/2263/64101/9495",16
"GO:0032288","BP","GO:0032288","myelin assembly","9/2006","24/18986",0.375,3.54922731804586,4.29510747676933,0.000480319115104927,0.0276322044776229,0.0244000165861501,"4336/4099/7368/1272/287/7097/23136/54468/20",9
"GO:0097061","BP","GO:0097061","dendritic spine organization","20/2006","85/18986",0.235294117647059,2.2269661603425,3.89674134078573,0.00044563136406877,0.0268604774933019,0.0237185598738324,"11141/50944/51225/54209/1942/7804/3643/85358/120892/10458/1855/23613/3480/9463/9912/23316/80823/158866/5641/115703",20
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","38/2006","206/18986",0.184466019417476,1.74589822764716,3.6997068490485,0.000449088350596013,0.0268604774933019,0.0237185598738324,"374/353514/9052/2268/84630/8692/3690/2321/64127/7422/51704/54209/3718/3678/54206/2324/3059/57091/5175/57732/1942/3689/3643/285489/5580/27/5526/10507/5777/3480/2263/1489/90/5770/2690/146433/3356/6423",38
